Weights	ampicillin	amoxicillin-clavulanic_acid	amikacin*	cefazolin	cefalotin	ciprofloxacin	cefixime	ceftazidime	gentamicin_C	meropenem*	nitrofurantoin*	piperacillin-tazobactam	tetracycline	tobramycin	trimethoprim-sulfamethoxazole	cefoxitin	ceftriaxone	ertapenem*
emrR	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
bacA	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
cpxA	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
TolC	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
YojI	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
Escherichia coli soxS with mutation conferring antibiotic resistance	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
emrA	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
mdtO	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
Escherichia coli soxR with mutation conferring antibiotic resistance	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
Escherichia coli mdfA	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
H-NS	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
mdtN	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
emrY	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
patA	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
mdtE	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
CRP	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
Escherichia coli acrA	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
acrB	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
msbA	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
CARB-19	0.00038617	0.03612144	-0.002656105	0.305491344	0	-0.013136238	0	0	0	-1.62484E-05	-0.000327196	-0.242263317	-0.000374977	0.00053186	-0.013032721	-0.002265165	0	-0.008386279
CARB-18	0.000385602	0.086846604	-0.002578871	0	0	-0.010263183	-0.055126948	-0.055126948	0	-7.92985E-06	9.03908E-05	0.087187882	-0.000375044	-0.493327676	-0.014505029	0	-0.055126948	-0.0055292
mexN	0	0.486954823	-0.002643617	1.050999291	0.194570109	-0.031710954	0.725781407	0.725781407	-0.05620829	-0.970223722	0.000260317	-0.08802481	-0.000379469	-0.306235803	-0.054737453	0.50266879	0.725781407	-0.079467064
SHV-1	0.000392388	-0.390064243	-0.002946718	-0.605700403	2.544246363	-0.031405987	-1.023021762	-1.023021762	-0.205243511	-0.125773291	-0.00489742	0	-0.000379534	-1.531502134	-0.033889766	0	-1.023021762	-0.026703182
PDC-91	-0.000381405	-0.440355625	-0.002989984	-0.978321942	-0.470526568	-0.032588568	0	0	-0.265751385	-0.147057829	-0.000614583	0	-0.000379683	0	-0.033345566	-0.712736521	0	-0.028747472
carA	-0.000382249	-0.89021469	-0.006154451	-1.242773539	0	-0.033193389	-1.246403865	-1.246403865	-0.482909362	-0.118828908	-1.328409912	-0.202688102	-0.000379818	-4.266324856	-0.070505016	0.186394659	-1.246403865	-0.071794809
mexX	-0.000382463	-0.169821829	-0.002775705	-0.518625358	-1.382332288	-0.038907596	0	0	-0.258922473	-0.063321051	-0.269382534	-0.123594611	-0.000380589	-0.03235123	-0.035929293	-0.373491922	0	-0.026012302
tet(E)	0	-0.302377357	-0.0034341	0.909160388	1.757143987	0	0.594917716	0.594917716	-0.350693548	-0.125591636	-0.005898573	0	-0.00038094	-2.620170565	-0.035028419	-1.053276878	0.594917716	-0.035107365
CTX-M-14	0	-0.302377357	-0.0034341	0.909160388	1.757143987	0	0.594917716	0.594917716	-0.350693548	-0.125591636	-0.005898573	0	-0.00038094	-2.620170565	-0.035028419	-1.053276878	0.594917716	-0.035107365
AxyY	0.000387224	0	-0.005167279	0	0	-0.026732397	0	0	-0.055606477	-0.086072435	-0.005721706	-0.054904613	-0.000381631	-0.000342098	-0.037614893	-0.235252482	0	-0.033239328
bcr-1	0.000378976	0.913504225	-0.002017216	2.576324384	0.474178807	0	-0.025122239	-0.025122239	-0.043983771	-0.057246999	-0.004185446	0	-0.000383509	0.000858563	0	-0.051196271	-0.025122239	-0.027244568
basS	0	-0.533192271	-0.002293081	-0.88073605	0.001613753	0.068344465	-0.96036865	-0.96036865	0.106494709	-0.9793082	-0.0295139	0	-0.000383924	0.030458443	-0.048960315	-0.320046231	-0.96036865	-0.06234045
OpmD	0.000378228	-0.29058362	-0.003418075	0	0.147283911	0.06221123	0	0	-0.484212819	-0.009841298	-0.069135096	-0.108969697	-0.000384152	-0.746092287	0	0	0	-0.028153656
PmpM	0.000378228	-0.29058362	-0.003418075	0	0.147283911	0.06221123	0	0	-0.484212819	-0.009841298	-0.069135096	-0.108969697	-0.000384152	-0.746092287	0	0	0	-0.028153656
MdtK	0	0	-0.003446123	-1.191077579	0.188974074	0.06851365	-0.869244663	-0.869244663	-0.810083214	-0.010131091	-0.078724323	0	-0.000384225	0	-0.059615451	1.350082435	-0.869244663	-0.029659237
Klebsiella pneumoniae acrA	0.000378704	-0.258517717	-0.002741705	0.771787966	0.134943588	0.034463607	0.996062479	0.996062479	0.95032444	-0.035210692	-0.199315439	-0.193599868	-0.000384498	-1.283381087	-0.055846571	-0.344790174	0.996062479	-0.035809018
TEM-87	0.00037953	-0.395382548	-0.002680734	0.127479338	0	0.050799059	0.097332318	0.097332318	-1.376496596	-0.027488696	-0.033803489	-0.151064599	-0.000384955	-1.865634491	-0.046631523	-0.657734644	0.097332318	-0.021285759
dfrA8	0	0	-0.003841049	0	0.254654325	-0.035872459	0.000293157	0.000293157	-0.151484558	-0.000354108	-0.003040538	-0.02144531	-0.00038573	-0.00581287	0.156148562	-0.046794134	0.000293157	-0.023452192
ANT(4')-IIb	0	0	-0.003841049	0	0.254654325	-0.035872459	0.000293157	0.000293157	-0.151484558	-0.000354108	-0.003040538	-0.02144531	-0.00038573	-0.00581287	0.156148562	-0.046794134	0.000293157	-0.023452192
ACT-30	0.000375425	-0.50597046	-0.005849917	-0.151547427	-0.536631661	-0.040792215	-0.04286316	-0.04286316	-0.01722317	-0.055715703	-1.523645971	-0.076359525	-0.000390515	-0.001676997	0	-0.104827171	-0.04286316	-0.073773991
TEM-30	0.000370452	0	-0.001431897	-0.300376073	0.001477156	0	-0.298355221	-0.298355221	-0.015512075	-0.01728023	0.001461731	0.145621726	-0.000390859	0.002875368	0.102722568	-0.011671481	-0.298355221	-0.022627783
ANT(2'')-Ia	0.000366855	0.123846774	-0.002393634	0.012043142	0	0	0.019366881	0.019366881	0.014158016	-0.05322759	2.595218843	0.059202913	-0.000392723	-0.001948766	-0.158657698	0.304184865	0.019366881	-0.018094625
oleB	0.000366855	0.123846774	-0.002393634	0.012043142	0	0	0.019366881	0.019366881	0.014158016	-0.05322759	2.595218843	0.059202913	-0.000392723	-0.001948766	-0.158657698	0.304184865	0.019366881	-0.018094625
CARB-21	0.000365037	-0.799400659	-0.004214519	0	0.756801875	0	-1.332866144	-1.332866144	0	-0.020924737	0.000420608	-0.102661585	-0.000392822	0.00057287	0.097932735	-0.321709126	-1.332866144	-0.056612704
dfrA14	0.000365596	-0.514682392	-0.003832754	-1.077735713	0.480056047	0	-0.913477565	-0.913477565	-0.122408238	-0.072532165	-0.606563073	-0.147135772	-0.000393259	-0.379703829	0.038033182	0	-0.913477565	-0.063022377
mdsB	0.000365596	-0.514682392	-0.003832754	-1.077735713	0.480056047	0	-0.913477565	-0.913477565	-0.122408238	-0.072532165	-0.606563073	-0.147135772	-0.000393259	-0.379703829	0.038033182	0	-0.913477565	-0.063022377
arnA	0	-0.353103707	-0.002118182	0.051988018	0.002254427	0.033340855	0.004257248	0.004257248	-0.163576717	-0.097217939	-0.039231833	-0.123121592	-0.000393341	0	0.055816057	-0.751775228	0.004257248	-0.033843305
tetM	0	-0.353103707	-0.002118182	0.051988018	0.002254427	0.033340855	0.004257248	0.004257248	-0.163576717	-0.097217939	-0.039231833	-0.123121592	-0.000393341	0	0.055816057	-0.751775228	0.004257248	-0.033843305
OpmH	0.000732763	-0.500544181	-0.009475829	-0.612805057	0	-0.049003875	0.096258017	0.096258017	-0.060348899	-0.133234367	-0.326437591	-0.091346657	-0.000393521	-0.771998756	-0.183822814	-1.00020209	0.096258017	-0.164838123
AcrS	-0.001204173	0.077658104	-0.178203813	-0.255487666	-0.499332432	-0.075693415	-0.186663221	-0.186663221	0.041645793	-0.825264188	-0.993423416	-0.00371771	-0.000714731	-2.994338501	-0.080637183	-0.580195779	-0.186663221	-0.230278504
AcrF	-0.000843705	-0.260658393	-0.028373742	-0.772448992	0.961647988	0.039248954	-0.353479791	-0.353479791	-0.191591003	-0.081571628	0.052766856	-0.061936026	-0.000717129	0.318175881	0.190894334	-0.20921035	-0.353479791	-0.113112643
marA	0.000697148	0.094940995	-0.019313161	-0.070224432	0.103902805	-0.033437351	0.047357635	0.047357635	-0.040106445	-0.080099006	0.055534403	-0.017046332	-0.000720708	0.37218546	0.004806897	0.070073271	0.047357635	-0.057791044
emrK	-7.31972E-05	-0.355652639	-0.02618393	-0.094457741	0.709840985	-0.09457888	-0.021133517	-0.021133517	-0.067706019	-0.209538319	0.057706917	-0.096665508	-0.00072358	0.368620029	0.147532831	-0.385854882	-0.021133517	-0.120309771
PmrF	-7.31972E-05	-0.355652639	-0.02618393	-0.094457741	0.709840985	-0.09457888	-0.021133517	-0.021133517	-0.067706019	-0.209538319	0.057706917	-0.096665508	-0.00072358	0.368620029	0.147532831	-0.385854882	-0.021133517	-0.120309771
BUT-1	-7.36641E-05	0.294731357	-0.012546749	0.116219306	0.00843909	-0.006764838	0.385794972	0.385794972	0.170515163	0.014883801	0.064622874	0.033729473	-0.000730952	0.625295586	-0.010470863	0.058949301	0.385794972	-0.02089551
kdpE	-0.000101232	1.017620493	-0.029148234	2.507064627	0.343762343	-0.053828092	0.006816103	0.006816103	-0.077154951	-0.148769256	-1.027812813	-0.02516302	-0.000737453	0.361498358	0.104508312	-0.006894579	0.006816103	-0.150750626
TriA	0.000754433	-0.565267442	-0.01117229	0.005443547	1.166038254	-0.137499817	0.167395558	0.167395558	-0.165565423	-1.080577035	-0.328113784	-0.124797815	-0.000761007	-1.077944073	-0.092074051	-0.398394168	0.167395558	-0.223179109
CARB-20	0.000759143	-0.30899022	-0.005522483	1.114673092	0.160047099	0.090442809	0.996062479	0.996062479	-0.067331341	-0.043344934	-0.244330519	-0.304644997	-0.000768958	-3.971608067	-0.106304708	-0.56108106	0.996062479	-0.052074915
dfrA5	0.001508205	0.102578385	-0.012899782	-0.325125566	1.179314638	-0.018636307	-0.348614879	-0.348614879	-0.173940444	-0.154734125	0.001094512	0.4417282	-0.00077527	0.003481718	0.317221141	0.325504851	-0.348614879	-0.116408272
aadA13	0.001133466	-0.192421844	-0.016718058	-0.869994364	2.798312676	-0.041555749	-1.166740407	-1.166740407	-0.342570052	-0.179555772	1.926550615	-0.011580637	-0.000775567	-1.164899872	0.018285901	0.026528882	-1.166740407	-0.0885698
mdtA	-0.001197742	0.094940995	-0.01308763	-0.069620005	-0.624920733	-0.064695556	0.028321607	0.028321607	0.041645793	-0.068184228	-2.135743539	0.134672887	-0.001079798	0.371686275	-0.076249114	0.469215065	0.028321607	-0.009193743
baeS	-0.001197742	0.094940995	-0.01308763	-0.069620005	-0.624920733	-0.064695556	0.028321607	0.028321607	0.041645793	-0.068184228	-2.135743539	0.134672887	-0.001079798	0.371686275	-0.076249114	0.469215065	0.028321607	-0.009193743
mdtB	-0.001197742	0.094940995	-0.01308763	-0.069620005	-0.624920733	-0.064695556	0.028321607	0.028321607	0.041645793	-0.068184228	-2.135743539	0.134672887	-0.001079798	0.371686275	-0.076249114	0.469215065	0.028321607	-0.009193743
baeR	-0.001197742	0.094940995	-0.01308763	-0.069620005	-0.624920733	-0.064695556	0.028321607	0.028321607	0.041645793	-0.068184228	-2.135743539	0.134672887	-0.001079798	0.371686275	-0.076249114	0.469215065	0.028321607	-0.009193743
adeF	-0.000825068	-1.207186079	-0.166314892	-0.129259077	0.148831772	-0.04183929	0.128685794	0.128685794	0.105246378	-0.235098693	0.768531716	0.032703177	-0.001084858	-2.727772286	0.134125024	-0.209364468	0.128685794	-0.131571486
Escherichia coli acrR with mutation conferring multidrug antibiotic resistance	-0.000101636	-0.488890054	-0.035752408	-1.271556317	2.42272136	0.238294457	0.041231927	0.041231927	-0.561210838	-1.185739847	-0.405581498	-0.16903852	-0.001117071	-0.059759804	-0.043896104	0.948816636	0.041231927	-0.293163682
Escherichia coli GlpT with mutation conferring resistance to fosfomycin	-0.002172017	0.998573309	-0.119645455	1.447689537	3.199372469	-0.138753054	0.344878049	0.344878049	0.5459663	0.054831771	2.288428976	0.748561378	-0.001400877	-0.081353936	0.083319698	1.706824154	0.344878049	0.49079704
evgA	0.000703551	0.340877082	-0.029794437	0.54127444	-0.385070789	-0.096557869	-0.081127754	-0.081127754	0.041645793	-0.072680547	0.056238505	0.02389721	-0.001839213	-0.617577953	-0.12204124	0.023409521	-0.081127754	-0.075261616
gadW	0.001497979	-0.341441288	0.020999828	1.024453047	1.004503594	0.080960688	1.089675527	1.089675527	0.237493781	0.235316307	2.305348393	-0.268251005	-0.00187908	-2.100172941	-0.31304762	-0.05803334	1.089675527	0.196954
Escherichia coli emrE	0.001528333	-0.4485325	-0.338066973	-0.159093444	0.906625996	0.041123676	0.700363366	0.700363366	-0.849561989	1.180671532	-0.514447354	-0.260634024	-0.002640771	-3.837828124	-0.276038971	0.350022761	0.700363366	-0.065810549
mdtC	0.000319219	0.027202793	-0.046499592	-0.060153871	3.189533596	-0.184653088	-0.110586711	-0.110586711	-0.869951913	2.570222478	-2.639729287	-0.134691594	-0.003008492	-1.504575783	0.026305851	-0.21398244	-0.110586711	1.004399337
ugd	-0.002302318	-1.246664919	-0.147988513	-0.440458242	-1.034768792	-0.06897808	-0.584513794	-0.584513794	-0.274272771	-0.278971314	0.111919913	0.37842946	-0.00334871	-2.975269378	-0.230074941	1.115651629	-0.584513794	-0.010354425
evgS	0.003735918	0.71610397	-0.056941175	1.486976464	-0.132291888	-0.142924327	-0.185189508	-0.185189508	-0.463825656	-1.9182573	0.210122186	0.334357945	-0.004115967	-0.579125137	-0.17853477	-1.222009084	-0.185189508	-0.288517944
