Sample ID	Tested R Phenotype	Predicted R Phenotype	Correct R Prediction	Correct S Prediction	Overprediction	Underprediction
C0332	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0029	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0062	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0056	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0225	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0262	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0284	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0148	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0156	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, gentamicin_C, tetracycline	ampicillin, tetracycline, cefalotin	meropenem, amikacin, tobramycin	gentamicin_C	ceftazidime, cefazolin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefixime, ceftriaxone, amoxicillin-clavulanic_acid, nitrofurantoin, cefoxitin, ciprofloxacin
C0345	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	amikacin, tobramycin	meropenem, gentamicin_C	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0232	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0333	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, gentamicin_C, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	meropenem, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0400	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0275	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0410	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, meropenem, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, gentamicin_C	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0335	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0070	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, meropenem, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0222	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, gentamicin_C, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0080	nitrofurantoin, tetracycline	ampicillin, cefalotin, gentamicin_C		ceftazidime, cefazolin, meropenem, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefixime, ceftriaxone, amoxicillin-clavulanic_acid, amikacin, tobramycin, cefoxitin, ciprofloxacin	ampicillin, gentamicin_C, cefalotin	nitrofurantoin, tetracycline
C0042	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, cefoxitin, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin
C0190	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0100	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C1438	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0213	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0233	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0202	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0098	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam	ceftazidime, meropenem, gentamicin_C, amikacin, tobramycin, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0157	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0189	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0315	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0263	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, meropenem, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0365	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C1446	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefazolin, ciprofloxacin, cefixime, gentamicin_C, meropenem, nitrofurantoin, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	meropenem, trimethoprim-sulfamethoxazole, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam	ceftazidime	cefazolin, cefixime, nitrofurantoin, amikacin, tobramycin, cefoxitin
C0139	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0060	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, gentamicin_C, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem	cefazolin, cefixime, nitrofurantoin, cefoxitin
C1442	ampicillin, amoxicillin-clavulanic_acid, cefazolin, ciprofloxacin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, tetracycline	ceftazidime, ampicillin, ciprofloxacin, tetracycline	amikacin, tobramycin	gentamicin_C	meropenem, cefazolin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefixime, ceftriaxone, nitrofurantoin, cefoxitin, amoxicillin-clavulanic_acid
C0409	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0214	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam	ceftazidime, meropenem, gentamicin_C, amikacin, tobramycin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C1432	ampicillin, amoxicillin-clavulanic_acid, cefazolin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	amikacin		cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, tobramycin, cefoxitin
C0073	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0292	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	amikacin, tobramycin	gentamicin_C	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0200	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0071	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam	ceftazidime, meropenem, gentamicin_C, amikacin, tobramycin, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
