Sample ID	Tested R Phenotype	Predicted R Phenotype	Correct R Prediction	Correct S Prediction	Overprediction	Underprediction
C0288	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tetracycline, tobramycin, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline	gentamicin_C, ampicillin, ciprofloxacin, ceftazidime, tetracycline, cefalotin	trimethoprim-sulfamethoxazole, cefoxitin, ertapenem, meropenem	amikacin, piperacillin-tazobactam, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0655	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, ceftriaxone	ampicillin, ciprofloxacin, ceftriaxone, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, tobramycin	nitrofurantoin	amoxicillin-clavulanic_acid, cefazolin, cefixime
C0239	ampicillin, cefalotin, ciprofloxacin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, tetracycline, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	nitrofurantoin	
C0240	ampicillin, cefalotin, gentamicin_C, tetracycline, tobramycin, trimethoprim-sulfamethoxazole	ampicillin, amikacin, cefalotin, ciprofloxacin, gentamicin_C, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, trimethoprim-sulfamethoxazole, tetracycline, cefalotin	ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime	ciprofloxacin, amikacin, nitrofurantoin	tobramycin
C0405	ampicillin, cefalotin, gentamicin_C, tetracycline, tobramycin, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0173	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	nitrofurantoin	ceftriaxone, cefazolin, cefixime
C0437	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0461	ampicillin, cefalotin, ciprofloxacin, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	tetracycline, nitrofurantoin	trimethoprim-sulfamethoxazole
C0152	ampicillin, cefalotin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, trimethoprim-sulfamethoxazole, tetracycline, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, nitrofurantoin	
C0404	ampicillin, cefalotin, tetracycline, trimethoprim-sulfamethoxazole	nitrofurantoin, tetracycline		gentamicin_C, ampicillin, ciprofloxacin, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, cefalotin, tobramycin	nitrofurantoin, tetracycline	
C0611	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, meropenem, piperacillin-tazobactam, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone, ertapenem	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefalotin	gentamicin_C, amikacin	tetracycline, nitrofurantoin	ceftriaxone, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0648	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone, ertapenem	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ertapenem	gentamicin_C, ampicillin, ciprofloxacin, amikacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, tetracycline, ertapenem, nitrofurantoin, cefoxitin, cefalotin, tobramycin			ceftriaxone, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0005	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, meropenem, piperacillin-tazobactam, cefoxitin, ceftriaxone, ertapenem	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, cefoxitin	ampicillin, ceftazidime, cefoxitin, cefalotin	gentamicin_C, amikacin, trimethoprim-sulfamethoxazole, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	ceftriaxone, piperacillin-tazobactam, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0402	ampicillin, cefalotin, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, trimethoprim-sulfamethoxazole, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	
C0615	ampicillin, cefazolin, cefalotin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, tetracycline, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	ciprofloxacin, nitrofurantoin	ceftriaxone, trimethoprim-sulfamethoxazole, ceftazidime, cefazolin, cefixime
C0649	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, ceftazidime, cefalotin	gentamicin_C, amikacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	tetracycline, nitrofurantoin	ceftriaxone, cefazolin, cefixime
C0193	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, ceftazidime, cefalotin	gentamicin_C, amikacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	tetracycline, nitrofurantoin	ceftriaxone, cefoxitin, cefazolin, cefixime
C0012	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	nitrofurantoin	ceftriaxone, cefazolin, cefixime
C0485	cefalotin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin	
C0352	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, piperacillin-tazobactam	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, ceftazidime, cefoxitin, ertapenem, meropenem, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	piperacillin-tazobactam, amoxicillin-clavulanic_acid, cefazolin
C0428	cefalotin, ciprofloxacin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ciprofloxacin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, tetracycline, nitrofurantoin	
C0394	ampicillin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0219	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	tetracycline, nitrofurantoin	ceftriaxone, cefazolin, cefixime
C0656	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tetracycline, tobramycin, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline	gentamicin_C, ampicillin, ciprofloxacin, ceftazidime, tetracycline, cefalotin	trimethoprim-sulfamethoxazole, cefoxitin, ertapenem, meropenem	amikacin, piperacillin-tazobactam, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0380	cefalotin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin	
C0452	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	nitrofurantoin	ceftriaxone, cefazolin, cefixime
C0474	cefalotin, tetracycline	nitrofurantoin, tetracycline	tetracycline	gentamicin_C, ampicillin, ciprofloxacin, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	nitrofurantoin	cefalotin
C0351	ampicillin, cefalotin, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, trimethoprim-sulfamethoxazole, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	
C0184	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, gentamicin_C, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	piperacillin-tazobactam, cefoxitin, ertapenem, meropenem	ciprofloxacin, amikacin, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0300	ampicillin, cefalotin, ciprofloxacin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, tetracycline, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	nitrofurantoin	
C0370	ampicillin, cefalotin, ciprofloxacin, gentamicin_C, tobramycin	ampicillin, amikacin, cefalotin, ciprofloxacin, gentamicin_C, nitrofurantoin, tetracycline	gentamicin_C, ampicillin, ciprofloxacin, cefalotin	ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime	amikacin, tetracycline, nitrofurantoin	tobramycin
C0104	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin	ciprofloxacin, trimethoprim-sulfamethoxazole, tetracycline, ceftazidime, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, ertapenem, meropenem, tobramycin	nitrofurantoin, cefoxitin	ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0025	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, piperacillin-tazobactam, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefalotin	gentamicin_C, amikacin, cefoxitin, ertapenem, meropenem	tetracycline, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0145	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, piperacillin-tazobactam, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0004	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, ertapenem, meropenem, tobramycin	nitrofurantoin	ceftriaxone, piperacillin-tazobactam, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0473	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0396	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0244	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0382	cefalotin, tetracycline	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	tetracycline, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, nitrofurantoin	
C0001	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	piperacillin-tazobactam, ertapenem, meropenem, tobramycin	amikacin, nitrofurantoin	ceftriaxone, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0349	cefalotin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin	
C0279	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline	ampicillin, ciprofloxacin, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, ertapenem, meropenem	piperacillin-tazobactam, nitrofurantoin	ceftriaxone, trimethoprim-sulfamethoxazole, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0321	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, cefoxitin	ampicillin, ceftazidime, cefoxitin, cefalotin	gentamicin_C, amikacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ertapenem, meropenem, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0616	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tobramycin, cefoxitin, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, tobramycin	gentamicin_C, ampicillin, ciprofloxacin, piperacillin-tazobactam, ceftazidime, nitrofurantoin, cefalotin, tobramycin	trimethoprim-sulfamethoxazole, ertapenem, meropenem	amikacin, tetracycline	ceftriaxone, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0340	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tobramycin, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0330	ampicillin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, tetracycline	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, nitrofurantoin, cefalotin	trimethoprim-sulfamethoxazole
C0241	ampicillin, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	trimethoprim-sulfamethoxazole
C0462	cefalotin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin	
C0014	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	nitrofurantoin	ceftriaxone, cefazolin, cefixime
C0093	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, piperacillin-tazobactam, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, tetracycline, cefalotin	amikacin, cefoxitin, ertapenem, meropenem	nitrofurantoin	gentamicin_C, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0217	ampicillin, cefalotin, ciprofloxacin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	tetracycline, nitrofurantoin	
C0634	ampicillin, cefazolin, cefalotin, cefixime, ceftazidime, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, cefalotin	gentamicin_C, amikacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	ceftriaxone, ceftazidime, cefazolin, cefixime
C0385	ampicillin, cefalotin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	
C0478	ampicillin, amoxicillin-clavulanic_acid, cefalotin, piperacillin-tazobactam	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, ceftazidime, cefoxitin, ertapenem, meropenem, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	piperacillin-tazobactam, amoxicillin-clavulanic_acid
